year,club,titles,rank,color1,color2,titlesChar
1958,Real Madrid,6,3,#FEBE10,#000000, 6
1958,Barcelona,6,1,#004c99,#000000, 6
1958,Athletic Bilbao,6,2,#ee2523,#000000, 6
1958,Real Betis,1,6,#0BB363,#000000, 1
1958,Valencia,3,5,#ee3524,#000000, 3
1959,Sevilla,1,7,#f43333,#000000, 1
1959,Atlético Madrid,4,4,#CB3524,#000000, 4
1959,Real Madrid,6,3,#FEBE10,#000000, 6
1959,Barcelona,7,1,#004c99,#000000, 7
1959,Athletic Bilbao,6,2,#ee2523,#000000, 6
1959,Real Betis,1,6,#0BB363,#000000, 1
1959,Valencia,3,5,#ee3524,#000000, 3
1960,Sevilla,1,7,#f43333,#000000, 1
1960,Atlético Madrid,4,4,#CB3524,#000000, 4
1960,Real Madrid,6,3,#FEBE10,#000000, 6
1960,Barcelona,8,1,#004c99,#000000, 8
1960,Athletic Bilbao,6,2,#ee2523,#000000, 6
1960,Real Betis,1,6,#0BB363,#000000, 1
1960,Valencia,3,5,#ee3524,#000000, 3
1961,Sevilla,1,7,#f43333,#000000, 1
1961,Atlético Madrid,4,4,#CB3524,#000000, 4
1961,Real Madrid,7,2,#FEBE10,#000000, 7
1961,Barcelona,8,1,#004c99,#000000, 8
1961,Athletic Bilbao,6,3,#ee2523,#000000, 6
1961,Real Betis,1,6,#0BB363,#000000, 1
1961,Valencia,3,5,#ee3524,#000000, 3
1962,Sevilla,1,7,#f43333,#000000, 1
1962,Atlético Madrid,4,4,#CB3524,#000000, 4
1962,Real Madrid,8,2,#FEBE10,#000000, 8
1962,Barcelona,8,1,#004c99,#000000, 8
1962,Athletic Bilbao,6,3,#ee2523,#000000, 6
1962,Real Betis,1,6,#0BB363,#000000, 1
1962,Valencia,3,5,#ee3524,#000000, 3
1963,Sevilla,1,7,#f43333,#000000, 1
1963,Atlético Madrid,4,4,#CB3524,#000000, 4
1963,Real Madrid,9,1,#FEBE10,#000000, 9
